t,U
0.00275,-0.12086398
0.00276,0.62250966
0.00277,-0.96865151
0.00278,-1.58513665
0.00279,0.05518667
0.00280,0.54086281
0.00281,-1.13819116
0.00282,-1.48996971
0.00283,0.21713714
0.00284,0.43278100
0.00285,-1.29152256
0.00286,-1.36966035
0.00287,0.36087437
0.00288,0.30100919
0.00289,-1.42475153
0.00290,-1.22726409
0.00291,0.48274783
0.00292,0.14889402
0.00293,-1.53449444
0.00294,-1.06639738
0.00295,0.57966228
0.00296,-0.01970122
0.00297,-1.61796412
0.00298,-0.89114578
0.00299,0.64915638
0.00300,-0.20049468
0.00301,-1.67304068
0.00302,-0.70596018
0.00303,0.68946515
0.00304,-0.38889473
0.00305,-1.69832534
0.00306,-0.51554379
0.00307,0.69956489
0.00308,-0.58011654
0.00309,-1.69317593
0.00310,-0.32473262
0.00311,0.67919908
0.00312,-0.76930362
0.00313,-1.65772324
0.00314,-0.13837275
0.00315,0.62888496
0.00316,-0.95165114
0.00317,-1.59286765
0.00318,0.03880281
0.00319,0.54990036
0.00320,-1.12252801
0.00321,-1.50025633
0.00322,0.20229431
0.00323,0.44425127
0.00324,-1.27759444
0.00325,-1.38224134
0.00326,0.34794953
0.00327,0.31462088
0.00328,-1.41291217
0.00329,-1.24181992
0.00330,0.47206923
0.00331,0.16430142
0.00332,-1.52504452
0.00333,-1.08255837
0.00334,0.57150113
0.00335,-0.00288940
0.00336,-1.61114364
0.00337,-0.90850150
0.00338,0.64371994
0.00339,-0.18270543
0.00340,-1.66902287
0.00341,-0.72406984
0.00342,0.68689151
0.00343,-0.37057984
0.00344,-1.69721223
0.00345,-0.53394745
0.00346,0.69991940
0.00347,-0.56174115
0.00348,-1.69499580
0.00349,-0.34296289
0.00350,0.68247274
0.00351,-0.75133441
0.00352,-1.66242986
0.00353,-0.15596662
0.00354,0.63499463
0.00355,-0.93454450
0.00356,-1.60034150
0.00357,0.02229217
0.00358,0.55869087
0.00359,-1.10671838
0.00360,-1.51030759
0.00361,0.18728622
0.00362,0.45549936
0.00363,-1.26348334
0.00364,-1.39461473
0.00365,0.33482516
0.00366,0.32804088
0.00367,-1.40085799
0.00368,-1.25620119
0.00369,0.46116190
0.00370,0.17955252
0.00371,-1.51535339
0.00372,-1.09858229
0.00373,0.56308785
0.00374,0.01380544
0.00375,-1.60406171
0.00376,-0.92576109
0.00377,0.63801439
0.00378,-0.16499084
0.00379,-1.66472998
0.00380,-0.74212677
0.00381,0.68403859
0.00382,-0.35229540
0.00383,-1.69581742
0.00384,-0.55234312
0.00385,0.69999156
0.00386,-0.54335123
0.00387,-1.69653448
0.00388,-0.36123010
0.00389,0.68546816
0.00390,-0.73330607
0.00391,-1.66686297
0.00392,-0.17364144
0.00393,0.64083722
0.00394,-0.91733560
0.00395,-1.60755644
0.00396,0.00565864
0.00397,0.56723226
0.00398,-1.09076599
0.00399,-1.52012112
0.00400,0.17211642
0.00401,0.46652262
0.00402,-1.24919259
0.00403,-1.40677762
0.00404,0.32150435
0.00405,0.34126605
0.00406,-1.38859183
0.00407,-1.27040453
0.00408,0.45002840
0.00409,0.19464371
0.00410,-1.50542335
0.00411,-1.11446536
0.00412,0.55442442
0.00413,0.03037938
0.00414,-1.59671998
0.00415,-0.94292051
0.00416,0.63204105
0.00417,-0.14735507
0.00418,-1.66016302
0.00419,-0.76012673
0.00420,0.68090705
0.00421,-0.33404571
0.00422,-1.69414122
0.00423,-0.57072648
0.00424,0.69978136
0.00425,-0.52495112
0.00426,-1.69779162
0.00427,-0.37952997
0.00428,0.68818463
0.00429,-0.71522283
0.00430,-1.67102150
0.00431,-0.19139305
0.00432,0.64641138
0.00433,-0.90002850
0.00434,-1.61451076
0.00435,-0.01109388
0.00436,0.57552252
0.00437,-1.07467458
0.00438,-1.52969461
0.00439,0.15678846
0.00440,0.47731845
0.00441,-1.23472555
0.00442,-1.41872713
0.00443,0.30799024
0.00444,0.35429326
0.00445,-1.37611658
0.00446,-1.28442659
0.00447,0.43867135
0.00448,0.20957144
0.00449,-1.49525673
0.00450,-1.13020384
0.00451,0.54551288
0.00452,0.04682852
0.00453,-1.58912019
0.00454,-0.95997570
0.00455,0.62580134
0.00456,-0.12980229
0.00457,-1.65532308
0.00458,-0.77806548
0.00459,0.67749765
0.00460,-0.31583508
0.00461,-1.69218404
0.00462,-0.58909319
0.00463,0.69928885
0.00464,-0.50654513
0.00465,-1.69876690
0.00466,-0.39785818
0.00467,0.69062151
0.00468,-0.69708895
0.00469,-1.67490449
0.00470,-0.20921728
0.00471,0.65171577
0.00472,-0.88262727
0.00473,-1.62120283
0.00474,-0.02796145
0.00475,0.58355971
0.00476,-1.05844795
0.00477,-1.53902580
0.00478,0.14130595
0.00479,0.48788431
0.00480,-1.22008563
0.00481,-1.43046047
0.00482,0.29428600
0.00483,0.36711945
0.00484,-1.36343518
0.00485,-1.29826407
0.00486,0.42709343
0.00487,0.22433221
0.00488,-1.48485593
0.00489,-1.14579403
0.00490,0.53635532
0.00491,0.06314899
0.00492,-1.58126412
0.00493,-0.97692266
0.00494,0.61929673
0.00495,-0.11233662
0.00496,-1.65021128
0.00497,-0.79593880
0.00498,0.67381117
0.00499,-0.29766777
0.00500,-1.68994632
0.00501,-0.60743894
0.00502,0.69851413
0.00503,-0.48813760
0.00504,-1.69946011
0.00505,-0.41621043
0.00506,0.69277824
0.00507,-0.67890869
0.00508,-1.67851101
0.00509,-0.22710994
0.00510,0.65674916
0.00511,-0.86513601
0.00512,-1.62763108
0.00513,-0.04494008
0.00514,0.59134194
0.00515,-1.04208992
0.00516,-1.54811251
0.00517,0.12567255
0.00518,0.49821772
0.00519,-1.20527627
0.00520,-1.44197486
0.00521,0.28039486
0.00522,0.37974160
0.00523,-1.35055061
0.00524,-1.31191372
0.00525,0.41529736
0.00526,0.23892255
0.00527,-1.47422338
0.00528,-1.16123227
0.00529,0.52695391
0.00530,0.07933695
0.00531,-1.57315363
0.00532,-0.99375740
0.00533,0.61252874
0.00534,-0.09496216
0.00535,-1.64482882
0.00536,-0.81374249
0.00537,0.66984849
0.00538,-0.27954808
