t,U
0.00278,-2.18155178
0.00279,0.40236544
0.00280,0.11407900
0.00281,-1.25639639
0.00282,-0.31878042
0.00283,0.92983160
0.00284,1.07327309
0.00285,-0.55218942
0.00286,-1.60607669
0.00287,0.57187107
0.00288,0.36320257
0.00289,-1.89186184
0.00290,-0.24598703
0.00291,1.22105575
0.00292,1.09114576
0.00293,-0.68037894
0.00294,-1.06855859
0.00295,0.34870355
0.00296,-0.10307327
0.00297,-1.70026635
0.00298,-0.82885630
0.00299,1.10402987
0.00300,0.44867560
0.00301,-1.24988027
0.00302,-0.01725684
0.00303,0.73737846
0.00304,-0.20495797
0.00305,-1.58940712
0.00306,-0.55436494
0.00307,0.65740127
0.00308,-0.47641201
0.00309,-0.98212380
0.00310,-0.41618540
0.00311,0.90999132
0.00312,-0.60686141
0.00313,-1.50950070
0.00314,0.43138426
0.00315,0.89069045
0.00316,-0.28949677
0.00317,-0.21453757
0.00318,0.03078943
0.00319,2.53250379
0.00320,0.10060148
0.00321,-1.52784090
0.00322,0.58679857
0.00323,1.05865977
0.00324,-0.32879450
0.00325,-1.33101885
0.00326,0.51004942
0.00327,1.19364052
0.00328,-0.25460297
0.00329,-1.07882864
0.00330,0.97409219
0.00331,0.12312379
0.00332,-0.86529210
0.00333,-0.73256115
0.00334,0.82738668
0.00335,0.72361807
0.00336,-1.61655703
0.00337,-0.10485983
0.00338,0.31237393
0.00339,0.70602647
0.00340,-1.51695490
0.00341,0.11607417
0.00342,1.03677189
0.00343,0.29067352
0.00344,-1.30044594
0.00345,-0.87609747
0.00346,1.61312937
0.00347,0.30321990
0.00348,-0.77445004
0.00349,-0.64760895
0.00350,0.75870852
0.00351,-0.98813120
0.00352,-1.14633133
0.00353,0.95160669
0.00354,0.79078669
0.00355,-0.05333387
0.00356,-1.23515703
0.00357,0.67951037
0.00358,1.63391879
0.00359,-0.01777898
0.00360,-0.68212856
0.00361,0.04097332
0.00362,1.15798432
0.00363,-0.69334631
0.00364,-1.00485717
0.00365,0.45134875
0.00366,0.55678468
0.00367,-1.52673563
0.00368,-0.94601222
0.00369,1.81229476
0.00370,0.25807700
0.00371,-1.16775773
0.00372,-1.10183521
0.00373,0.78886035
0.00374,-0.22654372
0.00375,-1.44351709
0.00376,-0.88543037
0.00377,1.69529943
0.00378,0.19804798
0.00379,-1.00710339
0.00380,0.02708402
0.00381,0.70133960
0.00382,0.76732155
0.00383,-1.48840688
0.00384,-0.34587761
0.00385,2.04606464
0.00386,-0.26866728
0.00387,-0.78574689
0.00388,0.29819781
0.00389,1.61219210
0.00390,-0.37171536
0.00391,-1.41770965
0.00392,1.02708811
0.00393,1.56189509
0.00394,-0.60879105
0.00395,-0.96871354
0.00396,0.39395575
0.00397,0.24603129
0.00398,-0.42298283
0.00399,-1.11387159
0.00400,1.01143838
0.00401,0.99664386
0.00402,-0.19171658
0.00403,-1.43852130
0.00404,0.36581985
0.00405,0.51738573
0.00406,-1.22462488
0.00407,-0.71299393
0.00408,0.50028866
0.00409,0.52715807
0.00410,-0.93613524
0.00411,-0.68515296
0.00412,0.93873203
0.00413,0.24159328
0.00414,-1.17658612
0.00415,-0.20436115
0.00416,0.50869458
0.00417,0.01585918
0.00418,-1.16257555
0.00419,-0.91928252
0.00420,1.37578243
0.00421,0.02121901
0.00422,-0.48896454
0.00423,-0.01379573
0.00424,0.32902984
0.00425,-0.39984797
0.00426,-0.97589936
0.00427,0.48489114
0.00428,0.85010864
0.00429,-0.53864240
0.00430,-0.43640270
0.00431,1.07939911
0.00432,2.06412572
0.00433,-0.51672757
0.00434,-0.90135934
0.00435,0.76437117
0.00436,0.54903469
0.00437,-0.97969939
0.00438,-0.92548244
0.00439,0.81421238
0.00440,1.37683671
0.00441,-0.38378089
0.00442,-0.71638024
0.00443,1.30262275
0.00444,0.38073683
0.00445,-0.63242140
0.00446,0.21127172
0.00447,0.65087008
0.00448,1.11383100
0.00449,-0.46638836
0.00450,-0.72201183
0.00451,1.34625322
0.00452,0.83166524
0.00453,-0.45634294
0.00454,-1.78679190
0.00455,1.61605582
0.00456,1.28355423
0.00457,-1.01305465
0.00458,-0.41448507
0.00459,1.29963014
0.00460,-0.04398013
0.00461,-1.60912430
