t,U
0.00278,-2.37729350
0.00279,0.37507044
0.00280,-0.05138080
0.00281,-1.36676994
0.00282,-0.19897626
0.00283,0.96778705
0.00284,1.09833925
0.00285,-0.50947854
0.00286,-1.73755282
0.00287,0.52026538
0.00288,0.28503308
0.00289,-2.06452057
0.00290,-0.16008526
0.00291,1.26358362
0.00292,1.17008089
0.00293,-0.61717756
0.00294,-1.15821641
0.00295,0.21820169
0.00296,-0.20722853
0.00297,-1.80423063
0.00298,-0.90700863
0.00299,1.09596011
0.00300,0.47529096
0.00301,-1.26361132
0.00302,0.01641581
0.00303,0.65665975
0.00304,-0.26139430
0.00305,-1.65923546
0.00306,-0.65056715
0.00307,0.56060237
0.00308,-0.54717109
0.00309,-0.94446154
0.00310,-0.52178321
0.00311,0.86191944
0.00312,-0.66713487
0.00313,-1.57231259
0.00314,0.44382307
0.00315,0.84815495
0.00316,-0.26056354
0.00317,-0.05775543
0.00318,-0.05991309
0.00319,2.79715846
0.00320,0.22967781
0.00321,-1.62203720
0.00322,0.56616678
0.00323,1.07906959
0.00324,-0.24869042
0.00325,-1.41114682
0.00326,0.44971486
0.00327,1.26128769
0.00328,-0.13709811
0.00329,-1.13900407
0.00330,0.97443938
0.00331,0.02650092
0.00332,-0.83678766
0.00333,-0.75935301
0.00334,0.78379437
0.00335,0.76403936
0.00336,-1.70679541
0.00337,-0.05066884
0.00338,0.16395132
0.00339,0.77540744
0.00340,-1.57908033
0.00341,0.17678142
0.00342,1.00995917
0.00343,0.31944591
0.00344,-1.31888877
0.00345,-1.02644877
0.00346,1.68688006
0.00347,0.36835738
0.00348,-0.69938979
0.00349,-0.79126520
0.00350,0.68304583
0.00351,-1.11967525
0.00352,-1.14347143
0.00353,1.06005438
0.00354,0.72932608
0.00355,0.01470444
0.00356,-1.25923772
0.00357,0.70756241
0.00358,1.73659230
0.00359,0.08734226
0.00360,-0.62355725
0.00361,-0.07441790
0.00362,1.19411720
0.00363,-0.68083967
0.00364,-1.02455116
0.00365,0.38287808
0.00366,0.50834713
0.00367,-1.63847883
0.00368,-0.97991050
0.00369,1.96422175
0.00370,0.18282288
0.00371,-1.19497831
0.00372,-1.19168792
0.00373,0.73989237
0.00374,-0.35872193
0.00375,-1.50412930
0.00376,-0.96750269
0.00377,1.79476985
0.00378,0.17358426
0.00379,-0.97897845
0.00380,0.07512854
0.00381,0.61515610
0.00382,0.87791922
0.00383,-1.54065276
0.00384,-0.39829219
0.00385,2.19708838
0.00386,-0.30890377
0.00387,-0.71242863
0.00388,0.32664432
0.00389,1.68835526
0.00390,-0.39643760
0.00391,-1.46250377
0.00392,1.15216570
0.00393,1.63704676
0.00394,-0.64298288
0.00395,-0.94394178
0.00396,0.37400104
0.00397,0.09941973
0.00398,-0.39304478
0.00399,-1.13062150
0.00400,1.07199887
0.00401,1.00200704
0.00402,-0.09221207
0.00403,-1.53346007
0.00404,0.28445888
0.00405,0.45955393
0.00406,-1.28462614
0.00407,-0.70275915
0.00408,0.41998891
0.00409,0.49724524
0.00410,-0.92378014
0.00411,-0.69778578
0.00412,0.91806513
0.00413,0.19002636
0.00414,-1.19085746
0.00415,-0.16178841
0.00416,0.39740324
0.00417,-0.04427645
0.00418,-1.16302016
0.00419,-1.03696640
0.00420,1.41055689
0.00421,-0.00463252
0.00422,-0.36309308
0.00423,-0.00364662
0.00424,0.17357271
0.00425,-0.46678705
0.00426,-0.93630196
0.00427,0.54993224
0.00428,0.78974269
0.00429,-0.59639195
0.00430,-0.30527534
0.00431,1.21698400
0.00432,2.22793859
0.00433,-0.53757419
0.00434,-0.86332232
0.00435,0.81353218
0.00436,0.45503418
0.00437,-1.05201679
0.00438,-0.90689283
0.00439,0.84230114
0.00440,1.44814321
0.00441,-0.32114556
0.00442,-0.68027200
0.00443,1.39090869
0.00444,0.29618542
0.00445,-0.58893182
0.00446,0.38900598
0.00447,0.59947897
0.00448,1.18598391
0.00449,-0.37199077
0.00450,-0.73841498
0.00451,1.39992628
0.00452,0.88249924
0.00453,-0.34339594
0.00454,-2.02366393
0.00455,1.70356021
0.00456,1.44658915
0.00457,-0.98767138
0.00458,-0.43885211
0.00459,1.32141882
0.00460,-0.08472165
0.00461,-1.68356880
0.00462,0.44998296
0.00463,1.44789659
0.00464,0.67734332
0.00465,-1.31597254
0.00466,-0.89478019
0.00467,1.54198352
0.00468,0.87138984
0.00469,-1.10989442
0.00470,-0.32810584
0.00471,1.70171432
0.00472,0.04149716
0.00473,-0.77066796
0.00474,0.69326461
0.00475,1.27742983
0.00476,-0.21193132
0.00477,-1.21688321
0.00478,0.97473983
0.00479,0.84297044
0.00480,-0.45288026
0.00481,-0.90830035
0.00482,1.43635166
0.00483,1.49104240
0.00484,-1.36090299
0.00485,-0.91555053
0.00486,1.46370988
0.00487,1.19455106
0.00488,-1.37561966
0.00489,-0.57381091
0.00490,1.11595570
0.00491,0.90340902
0.00492,-1.67371121
0.00493,-0.93188580
0.00494,0.85262600
0.00495,0.21945584
0.00496,-1.02847201
0.00497,-0.48086169
0.00498,1.11276681
0.00499,-0.03973696
0.00500,-1.06126568
0.00501,0.20586264
0.00502,1.34405026
0.00503,0.74938749
0.00504,-0.66958520
0.00505,0.23414633
0.00506,0.75897587
0.00507,-1.15084141
0.00508,-1.61126425
0.00509,0.32764177
0.00510,0.63875354
0.00511,-0.95692245
0.00512,-1.64251696
0.00513,0.23646161
0.00514,0.85307406
0.00515,-0.73612366
0.00516,-0.11772526
0.00517,0.70388382
0.00518,0.48058615
0.00519,-0.51074947
0.00520,-0.96473542
0.00521,0.81883681
0.00522,0.54856143
0.00523,-0.62090937
0.00524,-0.85904913
0.00525,1.38831577
0.00526,0.87205404
0.00527,-0.49058228
0.00528,-0.29951806
0.00529,0.32587369
0.00530,0.27697657
0.00531,-0.90782629
0.00532,-0.40209996
0.00533,0.65886552
0.00534,1.62833832
0.00535,-1.16919801
0.00536,0.38048052
0.00537,0.70675992
0.00538,0.12837480
0.00539,-1.29572392
0.00540,-0.21835929
0.00541,0.96646459
0.00542,-0.04769402
0.00543,-1.51690846
0.00544,1.23775553
0.00545,1.87975926
0.00546,-0.48025674
0.00547,-1.57841792
0.00548,0.72473842
0.00549,-0.80292663
0.00550,-0.35332102
0.00551,-0.80920647
0.00552,0.55042708
0.00553,0.10566755
0.00554,0.03126683
0.00555,-0.78828090
0.00556,1.11919141
0.00557,-0.26966391
0.00558,0.18681698
0.00559,-1.34792811
0.00560,1.23156844
0.00561,1.05043794
0.00562,-0.66360757
0.00563,-1.28564521
0.00564,1.33305214
0.00565,0.91138424
0.00566,-0.37232471
0.00567,-1.31478999
0.00568,1.23427397
0.00569,0.43401200
0.00570,-0.96757354
0.00571,-0.69016861
0.00572,0.54606492
0.00573,-0.00018505
0.00574,-0.14950905
0.00575,-0.95330144
0.00576,1.85920551
0.00577,1.07759258
0.00578,-1.75355241
0.00579,-0.39620951
0.00580,1.23708463
0.00581,0.86764284
0.00582,-1.72982007
0.00583,0.13256525
0.00584,0.26642858
0.00585,1.40534456
0.00586,-0.54230413
0.00587,-0.71907237
0.00588,1.60496820
0.00589,-0.00974856
0.00590,-0.77419561
0.00591,0.47414403
0.00592,1.40754843
0.00593,-1.04686184
0.00594,-0.63130750
0.00595,1.22192790
0.00596,0.55867113
0.00597,-0.29583543
0.00598,-0.64823281
0.00599,1.19822875
0.00600,0.93301110
0.00601,-1.05511646
0.00602,-1.04773135
0.00603,1.95722145
0.00604,0.56848671
0.00605,-1.50393450
0.00606,-1.62750680
0.00607,1.60560973
0.00608,0.73984164
0.00609,0.01901053
0.00610,-0.95199010
0.00611,0.65443974
0.00612,0.94745247
0.00613,-1.10386325
0.00614,-0.62520789
0.00615,1.20966203
0.00616,0.12149410
0.00617,-0.66346901
0.00618,-0.17953072
0.00619,0.79671686
0.00620,0.70153745
0.00621,-1.12821234
0.00622,1.05383616
0.00623,1.29882780
0.00624,-1.24469657
0.00625,-0.84577808
0.00626,-0.78844323
0.00627,0.98777614
0.00628,-1.39677110
0.00629,-1.15978506
0.00630,-0.33661257
0.00631,1.34325135
0.00632,-0.49027106
0.00633,-1.05152376
0.00634,-0.28640047
0.00635,0.97953814
0.00636,-1.27469936
0.00637,-0.39180576
0.00638,1.29085693
0.00639,1.38509646
0.00640,0.06011869
0.00641,-0.67281353
0.00642,1.66327629
0.00643,1.65300823
0.00644,-1.45382754
0.00645,-0.80681415
0.00646,1.47550160
0.00647,0.09114023
0.00648,-0.55415075
0.00649,-0.58910636
0.00650,1.32537998
0.00651,0.86306834
0.00652,-1.09597740
0.00653,-1.72779314
0.00654,2.02617487
0.00655,1.07677216
0.00656,-1.10747194
0.00657,-1.21115761
0.00658,1.86554215
0.00659,-0.20854283
0.00660,-1.24200854
0.00661,0.52443884
0.00662,0.47193399
0.00663,1.16085589
0.00664,-1.47989920
0.00665,-0.51450244
0.00666,2.14915305
0.00667,-0.54756498
0.00668,-0.46061165
0.00669,-0.10551507
0.00670,1.18158556
0.00671,-0.72614747
0.00672,-2.15558557
0.00673,0.77714335
0.00674,1.63931724
0.00675,-0.42999577
0.00676,-0.58328785
0.00677,0.78382952
0.00678,0.61704632
0.00679,-0.13258542
0.00680,-0.51892384
0.00681,0.87714935
0.00682,1.40817315
0.00683,-1.07432061
0.00684,-0.95974033
0.00685,1.19055113
0.00686,0.13311098
0.00687,-0.58201440
0.00688,-0.24543360
0.00689,-0.13811297
0.00690,1.16807710
0.00691,0.34709192
0.00692,-0.65947581
0.00693,1.48315543
0.00694,1.01109361
0.00695,-1.13904928
0.00696,0.53881060
0.00697,1.71245318
0.00698,-0.60524441
0.00699,-0.84529279
0.00700,-0.91967002
0.00701,1.88505175
0.00702,-0.51136802
0.00703,-0.67636769
0.00704,0.09429893
0.00705,1.88953793
0.00706,-0.61413189
0.00707,-1.63322593
0.00708,0.04654051
